Daily	Met File BIOCON 1982 - mid2005

&ENVIRON				
CA = 360
/				

&LATLONG				
LATHEM	=	'N'		
LAT	=	45	0	0
LONHEM	=	'W'		
LONG	=	93	0	0
tzlong = 120
/				


&FORMAT				
DAYORHR	=	0		
START	=	'01/01/82'			
END	=	 '31/12/04'			
NOCOLUMNS	=	6			
COLUMNS	=				
'DATE'	 'TMIN'	'TMAX'	 'PPT'	'SI'	'LAI'
/					

DATA STARTS
1	-18	-8	0	4.875313808	0
2	-22	-8	0	7.870292887	0
3	-20	-3	0	6.866108787	0
4	-11	0	0.51	6.188284519	0
5	-8	2	0	5.226778243	0
6	-17	-1	0	5.932217573	0
7	-18	-3	0	6.838493724	0
8	-5	9	0	6.675313808	0
9	1	9	0	7.059414226	0
10	-2	3	0	2.387447699	0
11	-4	6	0	7.584100418	0
12	-6	4	0	7.925523013	0
13	-8	1	1.02	2.234309623	0
14	-4	-2	1.52	2.046025105	0
15	-7	-3	0.03	4.189958159	0
16	-17	-7	0.03	5.430125523	0
17	-18	-7	0	8.590794979	0
18	-24	-12	0	8.836820084	0
19	-14	-1	0.25	7.654393305	0
20	-10	-2	0	4.917991632	0
21	-13	-1	0	6.994142259	0
22	-9	8	0	7.594142259	0
23	-9	0	0	3.057740586	0
24	-16	-1	0	9.351464435	0
25	-3	9	0	9.165690377	0
26	-4	10	0	8.882008368	0
27	-4	1	0	4.240167364	0
28	-11	-4	0	1.968200837	0
29	-12	-7	0	2.086192469	0
30	-15	-6	0	6.768200837	0
31	-11	-4	1.27	3.627615063	0
32	-13	-2	0	11.71380753	0
33	-12	-2	0.25	7.639330544	0
34	-16	-6	0	9.411715481	0
35	-23	-5	0	11.95230126	0
36	-14	0	0	10.68451883	0
37	2	8	0	11.29707113	0
38	-5	7	0	10.89539749	0
39	-6	10	0	10.92803347	0
40	0	3	1.52	1.925523013	0
41	-10	0	0	12.16820084	0
42	-10	6	0	7.212552301	0
43	-10	1	0	12.08284519	0
44	-12	6	0	12.21589958	0
45	-1	8	0	9.492050209	0
46	-2	6	0	9.780753138	0
47	-3	5	0	6.39916318	0
48	-10	6	0	13.20251046	0
49	1	11	0.51	8.312133891	0
50	0	4	8.89	0.858577406	0
51	-3	1	3.3	4.862761506	0
52	-12	1	0	14.3874477	0
53	-15	3	0	10.65188285	0
54	1	10	0.03	10.16485356	0
55	-6	2	2.54	1.69958159	0
56	-11	-5	0	10.34560669	0
57	-13	-7	0	9.012552301	0
58	-19	-7	0	15.47196653	0
59	-12	-7	0	14.33472803	0
60	-21	-11	0	12.13054393	0
61	-14	-8	0	14.3874477	0
62	-22	-9	0.03	17.18912134	0
63	-20	-7	0	7.310460251	0
64	-13	-4	1.78	4.917991632	0
65	-9	-6	0.25	11.54811715	0
66	-13	-5	6.6	5.841841004	0
67	-7	-1	5.08	6.291213389	0
68	-12	-1	5.84	8.994979079	0
69	-18	-7	0.03	15.11297071	0
70	-12	-1	0	14.91213389	0
71	-11	4	0	16.45606695	0
72	-1	6	0.03	12.7707113	0
73	-4	1	14.48	2.470292887	0
74	-6	-1	2.03	18.16820084	0
75	-17	3	0	20.71631799	0
76	-4	3	0.25	11.88451883	0
77	-4	6	0.76	14.81924686	0
78	-1	4	0.76	7.651882845	0
79	-9	2	0.51	15.18577406	0
80	-17	-6	0	18.76066946	0
81	-14	-6	0	21.15313808	0
82	-11	1	0	18.28368201	0
83	-10	-2	0	21.46443515	0
84	-16	-2	0	21.88368201	0
85	-14	2	0	21.57991632	0
86	-7	9	0	20.77656904	0
87	3	9	1.02	18.67531381	0
88	-2	8	0	19.91046025	0
89	-7	6	0.03	14.59079498	0
90	-5	2	0	8.5958159	0
91	-10	-2	3.56	5.756485356	0
92	-3	0	10.16	11.67615063	0
93	-7	-1	0	12.85857741	0
94	-5	1	0	16.52384937	0
95	-11	3	0	22.11715481	0
96	-7	7	0	20.84937238	0
97	6	15	0	8.769037657	0
98	3	14	0	12.92384937	0
99	-3	11	2.29	23.50543933	0
100	4	11	30.48	6.943933054	0
101	3	6	25.15	3.394142259	0
102	4	17	0	19.96820084	0
103	4	20	1.27	18.65020921	0
104	9	24	1.02	19.09205021	0
105	9	31	0	20.29456067	0
106	20	31	0.51	15.32887029	0
107	9	28	1.78	24.12803347	0.066666667
108	8	28	11.18	22.72468619	0.133333333
109	2	22	0	18.29372385	0.2
110	-1	10	0	25.22259414	0.266666667
111	-1	9	5.84	6.30125523	0.333333333
112	-2	5	1.02	13.09456067	0.4
113	1	19	0	23.98493724	0.466666667
114	5	18	0	14.58577406	0.533333333
115	-2	6	0	25.70711297	0.6
116	-4	10	1.27	23.10125523	0.666666667
117	0	9	15.24	4.325523013	0.733333333
118	1	5	3.81	8.354811715	0.8
119	4	16	1.27	22.05439331	0.866666667
120	-2	17	0	18.79330544	0.933333333
121	-1	14	0	15.71799163	1
122	-2	10	0	23.53054393	1.066666667
123	-4	18	0	28.31297071	1.133333333
124	0	15	0	16.29790795	1.2
125	-2	23	10.92	20.13138075	1.266666667
126	5	12	0	7.360669456	1.333333333
127	1	10	3.81	10.76736402	1.4
128	4	8	15.24	5.194142259	1.466666667
129	3	9	0	9.672803347	1.533333333
130	1	17	0	25.49372385	1.6
131	4	12	2.54	5.066108787	1.666666667
132	5	10	0	8.540585774	1.733333333
133	1	18	1.27	19.03933054	1.8
134	6	18	0	27.09288703	1.866666667
135	10	25	0	17.97238494	1.933333333
136	7	15	0	25.45104603	2
137	0	14	0	28.66443515	2.066666667
138	0	14	0	27.29121339	2.133333333
139	-1	14	0	28.78995816	2.2
140	-3	17	0	29.44769874	2.266666667
141	0	20	0	29.83179916	2.333333333
142	9	24	0	17.08619247	2.4
143	8	19	0	21.47698745	2.466666667
144	4	15	0	26.44016736	2.533333333
145	7	18	0.25	17.85188285	2.6
146	6	20	10.67	14.33723849	2.666666667
147	7	27	0	25.63933054	2.733333333
148	12	24	0.76	12.27364017	2.8
149	10	30	0.03	28.16987448	2.866666667
150	13	32	0	27.52970711	2.933333333
151	14	30	0	27.34393305	3
152	14	28	0	28.91548117	3
153	8	21	5.08	14.13640167	3
154	8	13	0.03	4.132217573	3
155	6	14	2.54	5.641004184	3
156	4	24	0	23.29958159	3
157	10	26	7.62	27.8083682	3
158	15	26	2.54	19.27029289	3
159	14	24	0	9.49707113	3
160	19	29	0	21.8209205	3
161	18	28	13.97	13.87531381	3
162	16	24	0	19.60669456	3
163	13	22	1.27	22.03179916	3
164	11	21	1.02	19.7874477	3
165	10	25	0	22.22008368	3
166	10	23	0.76	27.65271967	3
167	8	25	0.76	24.5623431	3
168	14	25	0.03	19.641841	3
169	14	27	0	22.15732218	3
170	20	26	26.42	9.444351464	3
171	15	26	1.02	27.68284519	3
172	15	20	33.02	3.391631799	3
173	19	32	0	24.03012552	3
174	19	28	12.7	18.46443515	3
175	17	25	11.68	6.778242678	3
176	19	31	7.11	22.75230126	3
177	17	28	0	28.82259414	3
178	15	30	0	25.47112971	3
179	17	30	0	25.03430962	3
180	21	33	0	27.93389121	3
181	25	36	0	28.63682008	3
182	23	33	0	27.86610879	3
183	23	30	0	20.43012552	3
184	15	30	2.29	24.92887029	3
185	12	29	0	30.01757322	3
186	17	28	0	25.71213389	3
187	21	35	20.83	26.23179916	3
188	20	31	16	19.58158996	3
189	20	29	1.02	16.88033473	3
190	17	31	0	26.52301255	3
191	15	22	65.02	6.439330544	3
192	14	25	0	25.05941423	3
193	11	27	1.78	28.62677824	3
194	12	28	0	21.88870293	3
195	13	29	0	26.43514644	3
196	16	29	0	27.47949791	3
197	18	32	0	27.56485356	3
198	20	34	0	27.25857741	3
199	20	26	0	13.04686192	3
200	16	26	0	15.65523013	3
201	19	29	3.56	15.13807531	3
202	21	32	22.86	21.18577406	3
203	15	25	0	23.68619247	3
204	9	23	0.03	26.50543933	3
205	14	22	3.81	10.97322176	3
206	16	27	19.05	11.48284519	3
207	17	31	0	25.24016736	3
208	17	28	17.78	15.83096234	3
209	19	31	8.89	24.63012552	3
210	17	28	0	24.30125523	3
211	18	33	0	24.11548117	3
212	21	32	2.54	19.12719665	3
213	15	26	0	22.45606695	3
214	11	25	0	28.03430962	3
215	13	20	22.35	7.915481172	3
216	18	25	1.27	10.27280335	3
217	16	26	0	21.59246862	3
218	13	22	0	19.72970711	3
219	15	26	0	22.08953975	3
220	17	28	0.03	23.42008368	3
221	17	29	0.51	21.09539749	3
222	19	26	1.78	22.73221757	3
223	16	32	0.03	25.20753138	3
224	16	24	4.83	13.07949791	3
225	12	24	10.16	18.04518828	3
226	11	28	37.08	25.16485356	3
227	16	25	0	15.66276151	3
228	11	26	0	20.558159	3
229	10	21	0	19.36569038	2.983333333
230	6	22	0	26.01589958	2.966666667
231	8	24	0	25.20502092	2.95
232	10	25	10.16	23.68619247	2.933333333
233	17	26	37.08	7.041841004	2.916666667
234	16	24	0	7.707112971	2.9
235	15	25	0	8.19916318	2.883333333
236	14	28	0	20.70376569	2.866666667
237	13	28	0	22.52635983	2.85
238	12	28	0	22.53640167	2.833333333
239	15	27	0	20.02594142	2.816666667
240	15	28	1.27	15.41924686	2.8
241	18	25	0	13.00167364	2.783333333
242	16	26	0	18.71046025	2.766666667
243	18	28	0	20.51297071	2.75
244	18	30	33.02	17.96485356	2.733333333
245	14	27	0	16.57154812	2.716666667
246	10	27	0	23.01338912	2.7
247	11	29	0.03	22.01924686	2.683333333
248	17	27	1.27	15.70543933	2.666666667
249	17	29	30.48	17.91966527	2.65
250	21	33	0	20.21171548	2.633333333
251	19	32	0	20.34476987	2.616666667
252	21	30	0	20.73389121	2.6
253	12	23	30.23	20.68870293	2.583333333
254	9	25	0.03	17.7539749	2.566666667
255	11	27	0.03	19.09707113	2.55
256	14	20	0.03	6.853556485	2.533333333
257	9	21	10.67	8.151464435	2.516666667
258	4	20	0	20.92468619	2.5
259	10	27	0	19.98577406	2.483333333
260	10	26	0.03	19.10460251	2.466666667
261	16	25	0.03	12.16066946	2.45
262	13	22	0	10.29790795	2.433333333
263	11	22	1.02	10.25020921	2.416666667
